Korean,English
없다,none
후,after
가고,Going
글쎄,Well
않는,not
했죠,I did it
나의,my
별로,not really
않은,Unleashed
라고,Called
집,Home
여전히,still
없을,There not
딱,Perfect
있어서,So
이야기,story
엄마는,Mom is
부인,ma'am
하는데,to do
않고,Without
알았지,Understand
아니고,Not
여자가,A woman
문,door
되지,Not
거기서,at there
훨씬,more
아버지가,Father
망할,Destroyed
뭔지,What it is
손,hand
수술,Operation
듣고,listen
어쩌면,perhaps
보세요,look at this
생각이,Thought
어느,which
그러지,So
되면,If it is
아마도,maybe
준비,Ready
전화,telephone
뒤에,behind
도대체,why
너를,you
당신도,You
것처럼,As
않으면,If not
말하는,talking
최고의,Great
말하지,Speak
세,count
모르는,do not know
유일한,only
갑자기,suddenly
이봐요,Hey
건가요,Is it a case
없다고,Not
것입니다,Will be
있잖아요,There is
되고,And
어쨌든,anyway
가진,have
이번,this time
뭐하는,What to do
후에,after
친구가,A friend
지,ji
신경,nerve
그만해,stop it
누구야,Who is it
당신에게,to you
늘,always
없었어,No
그들을,them
있게,With
알잖아,You know
누군가,someone
분명히,clearly
생각을,Think
존,zone
일단,First
가야,Gaya
걱정,worry
보자,Let's see
매일,everyday
수는,Water
아침,morning
말할,To say
말아요,Do not
모두가,Everyone is
않았어요,I didn't
얘기를,Talk
봤어요,saw
대신,instead
마치,Like
건데,I
자넨,Manen
했잖아,You did it
둘이,two people
당신과,with you
집으로,to home
한다,do
두고,Left
이름을,name
있네,There is
그들의,their
뭔데,What
금방,soon
사는,living
좋아하는,Favorite
찾을,Found
맘에,I like it
결국,finally
이유가,the reason is
필요해요,I need
중에,In the middle
그때,at that time
보는,see
너랑,with you
아이를,The child
없잖아,No
한다고,That
기분,mood
하게,to do
놈이,Guy
못해,can not
우리에게,To us
가면,mask
저를,me
잡아,catch
집에서,At home
우리도,We too
기분이,Feel
저희,we
찾고,Finding
손을,hand
거다,Run
어제,yesterday
남자가,A man
뭐지,what
앞으로,Forward
잠깐만요,Wait
자신의,Own
애가,keen
이상한,Weird
막,membrane
먹고,eat
아이,Child
언제나,always
여기가,here
아들,son
알게,Know
하세요,do it
총,gun
스스로,myself
방법이,Method
있던,In
해봐,try
아님,no
때가,Time
아니죠,No
했던,Did
조용히,quietly
밤에,At night
미친,crazy
텐데,It would be
머리,head
않습니다,not
잘못,wrong
고맙습니다,thank you
있어야,Must be
왜냐하면,because
앉아,sit down
아침에,In the morning
죽일,Kill
환자,patient
양,sheep
없죠,No
일어나,wake up
믿을,Believing
같네요,It's the same
건가,Gun
게다가,furthermore
알렉스,Alex
타고,Riding
데,place
들었어,I heard
눈을,Eyes
나에게,to me
없었어요,There was no
만나서,meet
진정해,calm down
이것,this
더이상,Anymore
보지,Pussy
방법을,How to
원래,usually
솔직히,To be honest
좋지,good
하려고,going to do
빌어먹을,Damn
총을,Gun
길을,Path
누군지,Who is
아니라고,No
자신을,Themselves
여길,Here
있지만,Although
얼른,hurry
얘들아,Guys
대로,Road
만든,made
놈,bloke
조심해,Be careful
일에,At work
따라,follow
술,alcohol
정확히,exactly
자기가,Themselves
충분히,enough
힘을,Power
아저씨,mister
알겠지,got it
있었는데,There was
사랑하는,Loving
기다리고,Waiting
될거야,It will be
살아,live
평생,forever
아까,just now
얘야,Hey
눈,Eye
거기에,There
애,baby
분명,certainly
말하고,Spoke
역시,Also
저희가,we
찾아,find
걔가,She
이럴,This
저기요,excuse me
너와,with you
될까요,Will it be
천천히,slowly
문제,Problem
수술을,Surgery
좋았어,It was good
어디에,where
문을,The door
맞지,Right
어딨어,Where are you
조지,George
아녜요,No
저녁,dinner
됩니다,It's possible
마요,Flicker
생각엔,I think
만들어,make
적어도,At least
애들,kids
개,dog
잘했어,Well done
그러나,But
주,main
괜찮은,Decent
생각은,Thought
위에,above
가끔,Once in a while
있었던,In
간,liver
잠시,for awhile
알아서,By-self
곳에,In place
집을,Home
그렇지만,but
그레이,gray
그럼요,sure
삶을,Life
마음에,in the heart
살고,live
들고,With
분,minute
그랬어,I did it
차를,Tea
옆에,Next
아이가,Child
이번엔,this time
저게,That
아빠는,Daddy
괜찮을,It must be okay
하자,lets do it
알았는데,Okay
생각해요,Think about it
없는데,There is no
생각하는,Thinking
아니잖아,No
마지막으로,Finally
여자를,The woman
죽었어,Die
멍청한,stupid
훌륭한,excellent
있었지,There was
정도,degree
베일리,Bailey
준비가,Reader
남은,left
있으니까,Because there
싫어요,I do not like it
입니다,no see
영원히,forever
엄청난,exorbitant
정신,mental
는,Is
계세요,anybody home
하는지,Whether it is
좋을,Good
있었죠,Was there
간다,Goes
기회를,Opportunity
그대로,as it is
하나도,One
멈춰,stop
필요가,Need
도와줘,Help me
다음에,Next
앞에서,in front
뭐든,Whatever
물,water
밖으로,outside
오는,coming
그렇다면,then
미국,USA
말라고,Do not
하지마,Stop it
서,west
말한,Spoken
테니까,Because
앞에,Before
를,cast
처럼,like
저한테,to me
거고,In
받아,receive
그것도,That too
요즘,Nowadays
믿어,believe
뒤로,backwards
놈들이,Guys
입고,Wearing
보니,Bonnie
속에,inside
잠시만요,Wait
소리야,Sound
들어봐,listen
자기야,babe
헤이,hey
에,to
이해가,Understanding
옷,dress
들어가,Go in
아버지는,My father
않을거야,I will not
있소,There
자네는,You
모르겠지만,I don't know
누구도,Anyone
입,mouth
어머니,mother
특별한,special
좋겠어,I wish
준,June
그것은,that
관한,about
할게,I'll do it
여기는,here is
언니,sister
환자가,Patient
갈게,I'll go
나야,It's me
제게,To me
하루,day
단,only
필,Filling
가세요,go
끔찍한,Horrible
걸로,Lit
사랑,love
일도,Work
아름다운,beautiful
년,year
형,brother
뭐요,what
저런,That
별,star
아니다,not
받고,under
할거야,I will do it
쓸,Useful
씨발,Fuck
돈이,money
그에게,to him
뭔가를,Something
마음을,The heart
문제는,the problem is
의,of
서둘러,Hurry
못할,Badly
없네,No
끝났어,it's over
있을거야,There will be
머리를,Head
생각하지,Think
뭐라고요,I beg your pardon
힘든,tiring
보게,Look at
가게,store
말해봐,Tell me
밥,rice
상황이,The situation
줘요,Give
만큼,as much as
했지만,Though
같은데요,It looks like
이름,name
엄마를,Mom
전화를,phone
어쩔,Forced
있니,Is there
번째,th
할까,Should I
얘길,Talk
찾는,Found
선생님이,Teacher
진짜로,really
일이에요,It's work
건지,Vanity
가족을,Family
할지,Or
중이야,It's heavy
믿지,Believing
닥쳐,Shut up
여기로,Here
저건,That
주고,give
멀리,far
어이,hey
거짓말,lie
약,approximately
잭,jack
사실은,in fact
받을,Receiving
그러고,Then
겁니까,Is it
먹을,Eat
그치만,Yes
너에게,Thee
들었어요,I heard it
하기,do
오빠,brother
오고,Come
있을까,Will there be
어린,young
통해,through
아닌데,not really
조금만,a little bit
맞는,right
차에,In the car
여자는,The woman
보러,to see
손에,In hand
모르지,I don't know
가까이,closely
테니,Tenny
되죠,Has it
점점,Gradually
잔,glass
이야기를,Stories
물론이죠,Sure
학교,school
주는,Giving
아가씨,miss
먹어,eat
것에,On
크게,Big
이유는,The reason is
군,army
모두들,Everyone
죽인,Killed
셋,three
알죠,I know
기억,memory
경찰,police
제이,Jay
그래야,So that
목숨을,Risk
있을까요,Is there?
아니지만,Not
했다,did
딸,daughter
많아,many
떨어져,away
사람이야,It's a person
다시는,never
거잖아,That's it
애들이,Kids
애를,Child
을,second
말이다,말이다
없다는,Not
만들,make
오면,When it comes
할게요,I'll do it
아기,baby
영화,movie
가족,family
찾았어,I found it
특히,Especially
아들을,Son
제발요,please
꿈을,dream
세상을,The world
놈을,Guy
아니었어,No
마이크,MIC
그리,picture
무엇을,what
만드는,fabricated
얼마,how much
보여요,Show
사진,Photo
칼,knife
잠시만,Wait a moment
병원에,To the hospital
같습니다,Same
바보,Silly
열어,open it
현재,today
해줘,Do it
주지,gist
했습니다,I did
자주,often
있겠지,I must be
하는거야,Do it
샘,fountain
꺼져,go away
가만히,Still
그랬지,It did
지금까지,until now
저거,that
당연하지,Of course
나서,Out
그것,that
또한,In addition
보이지,Visible
